CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-19,7,0,-7,1,-6,-11,82,71,60,30.56,30.46,30.33,10,10,7,10,5,12,T,6,Snow,152
2016-1-20,22,15,7,16,10,2,83,78,73,30.30,30.21,30.12,10,8,2,12,6,13,0.02,8,Snow,155
2016-1-21,24,22,20,19,16,14,84,78,71,30.44,30.37,30.27,10,6,4,12,4,19,T,8,Snow,26
2016-1-22,25,21,17,14,12,11,77,68,59,30.51,30.43,30.34,10,9,5,10,6,20,T,7,Snow,27
2016-1-23,23,21,18,21,15,12,92,82,71,30.33,30.07,29.85,10,7,3,17,12,25,0.00,8,,182
2016-1-24,30,27,23,27,25,21,100,89,78,29.91,29.87,29.83,8,4,2,12,6,13,0.01,8,Snow,163
2016-1-25,30,29,27,27,25,22,92,89,85,29.88,29.80,29.73,9,4,2,18,6,25,0.05,8,Snow,351
2016-1-26,28,24,20,21,17,11,81,72,63,30.23,30.08,29.85,10,8,2,24,12,30,0.01,8,Snow,298
2016-1-27,40,28,15,31,22,11,88,74,59,30.22,29.84,29.64,10,10,8,22,11,30,T,6,,224
2016-1-28,37,28,19,30,21,13,82,70,58,29.96,29.82,29.64,10,10,10,26,12,33,0.00,5,,308
2016-1-29,34,26,18,29,22,14,84,74,63,29.93,29.70,29.50,10,9,7,23,11,30,0.01,7,Rain,169
2016-1-30,43,37,30,33,29,26,92,74,55,29.61,29.56,29.52,10,10,8,12,5,15,0.01,6,Rain,219
2016-1-31,41,34,27,32,28,25,92,76,59,29.87,29.69,29.60,10,10,7,14,6,19,0.00,3,,280
2016-2-1,36,29,22,29,25,21,96,86,75,30.17,30.04,29.89,10,7,4,13,4,16,0.00,4,Fog,329
2016-2-2,30,27,24,27,24,20,92,81,69,30.19,29.91,29.71,10,4,0,28,15,33,0.77,8,Fog-Snow,30
2016-2-3,24,18,11,19,11,5,88,68,47,30.14,29.91,29.71,10,7,1,26,14,34,0.04,6,Snow,325
2016-2-4,27,18,8,19,13,6,88,74,60,30.34,30.14,30.06,10,7,1,14,6,17,0.03,6,Snow,242
2016-2-5,29,18,6,21,13,5,91,71,50,30.40,30.30,30.19,10,8,6,15,7,24,T,6,Snow,189
2016-2-6,36,28,21,28,25,20,88,75,60,30.20,30.01,29.70,10,8,5,15,9,24,0.00,8,Rain,197
2016-2-7,40,28,16,30,21,8,85,70,54,29.81,29.71,29.62,10,7,1,33,16,43,0.02,7,Snow,281
2016-2-8,17,14,11,9,6,2,73,67,61,30.05,29.94,29.79,10,9,5,25,19,33,T,8,Snow,319
2016-2-9,17,11,5,4,-1,-4,76,64,51,30.22,30.15,30.01,10,10,7,25,16,33,T,2,Snow,329
2016-2-10,13,8,3,-2,-4,-6,69,59,48,30.34,30.22,30.16,10,10,10,14,6,18,0.00,6,,2
2016-2-11,17,10,2,9,0,-6,80,61,42,30.40,30.33,30.24,10,8,2,12,4,15,0.01,6,Snow,239
2016-2-12,15,8,0,8,-5,-12,80,61,41,30.69,30.49,30.26,10,10,10,25,14,33,0.00,1,,312
2016-2-13,10,2,-6,-6,-10,-14,72,57,41,30.72,30.60,30.36,10,10,10,13,6,16,0.00,2,,153
2016-2-14,19,13,7,14,9,-5,84,70,55,30.33,30.03,29.92,10,5,1,21,12,29,0.04,8,Snow,140
2016-2-15,32,25,18,29,21,13,92,79,66,29.91,29.78,29.68,10,6,2,13,7,16,0.00,8,,157
2016-2-16,35,28,21,31,25,9,100,80,59,30.12,29.87,29.68,10,5,0,20,7,24,T,6,Fog-Snow,342
2016-2-17,29,22,14,14,10,6,67,55,42,30.30,30.24,30.13,10,10,10,13,7,16,0.00,5,,108
2016-2-18,41,33,25,34,27,15,85,73,60,30.20,29.85,29.52,10,8,6,28,16,39,0.00,7,,136
2016-2-19,45,40,35,41,35,32,92,79,65,29.67,29.37,29.17,10,6,1,28,13,39,0.37,6,Rain-Thunderstorm,238
2016-2-20,43,37,30,32,29,25,89,75,60,30.14,29.93,29.66,10,10,9,25,10,37,0.00,5,,288
2016-2-21,37,32,26,25,24,22,85,75,64,30.28,30.23,30.15,10,10,9,13,6,17,T,6,Snow,323
2016-2-22,35,31,27,25,21,16,78,67,56,30.26,30.17,30.09,10,10,10,13,5,17,0.00,8,,217
2016-2-23,40,37,33,33,31,26,89,79,69,30.11,30.05,29.97,10,7,1,15,7,19,0.04,8,Snow,198
2016-2-24,38,34,30,30,27,22,82,71,59,30.07,30.02,29.97,10,10,7,16,10,23,T,8,Snow,350
2016-2-25,35,31,26,22,17,16,75,62,49,30.30,30.23,30.05,10,10,10,21,13,27,0.00,6,,327
2016-2-26,42,33,24,29,21,14,75,60,45,30.28,30.13,29.92,10,10,10,16,9,20,0.00,4,,235
2016-2-27,58,46,34,39,31,26,76,56,35,29.90,29.67,29.45,10,10,10,15,8,19,0.00,4,,214
2016-2-28,43,36,28,36,28,22,92,78,64,29.85,29.63,29.41,10,8,1,23,11,29,0.03,6,Rain-Snow,312
2016-2-29,39,29,19,29,7,-7,78,53,27,30.16,29.98,29.66,10,10,10,32,13,41,0.00,6,,349
2016-3-1,27,21,14,10,0,-9,62,43,24,30.22,30.16,30.12,10,9,2,17,10,21,T,5,Snow,339
2016-3-2,32,23,13,10,8,3,74,55,36,30.14,30.10,30.03,10,10,10,13,6,14,0.00,5,,171
2016-3-3,35,31,26,19,15,9,63,55,46,30.18,30.15,30.09,10,10,5,13,5,18,T,8,Snow,5
2016-3-4,37,33,29,32,26,17,92,71,49,30.16,30.01,29.91,10,6,0,22,9,28,0.05,8,Fog-Snow,197
2016-3-5,39,34,29,28,26,24,85,70,54,30.26,30.16,30.00,10,10,7,22,9,27,0.00,6,,270
2016-3-6,60,45,29,41,33,26,85,63,41,30.09,29.78,29.63,10,10,9,22,13,31,0.00,4,,156
2016-3-7,64,53,42,49,43,37,82,65,48,29.67,29.64,29.62,10,10,10,17,10,23,0.00,6,,127
2016-3-8,70,55,40,54,47,34,86,64,42,29.77,29.63,29.54,10,10,9,28,16,38,0.00,7,,192
2016-3-9,42,39,35,37,34,32,92,83,73,30.10,29.95,29.77,10,9,2,18,7,22,T,8,,251
2016-3-10,49,41,33,33,30,27,96,73,49,30.28,30.19,30.09,10,9,2,10,5,13,0.00,5,,268
2016-3-11,66,47,28,43,35,26,92,67,42,30.29,30.18,30.06,10,9,7,22,10,27,0.00,1,,158
2016-3-12,70,60,49,40,37,33,61,44,26,30.06,30.00,29.91,10,10,10,17,9,28,0.00,2,,178
2016-3-13,54,51,47,45,43,39,82,71,59,29.91,29.78,29.68,10,10,9,22,9,27,T,8,Rain,138
2016-3-14,58,53,48,50,48,45,93,83,72,29.68,29.65,29.63,10,5,1,16,7,19,0.01,8,Rain,129
2016-3-15,55,50,45,51,49,41,96,89,82,29.64,29.59,29.54,10,5,1,24,11,32,0.85,8,Rain-Thunderstorm,139
2016-3-16,49,45,40,40,31,26,83,63,42,29.69,29.59,29.49,10,10,8,33,20,44,0.05,8,Rain,295
2016-3-17,42,37,32,31,26,21,70,58,46,30.01,29.83,29.69,10,10,8,21,13,28,0.01,7,Rain-Snow,273
2016-3-18,37,34,30,29,27,24,92,78,64,30.19,30.12,30.02,10,9,6,15,7,26,T,8,Snow,12
2016-3-19,43,35,27,28,25,23,92,71,49,30.34,30.24,30.16,10,8,0,15,9,25,0.07,7,Fog-Snow,7
2016-3-20,43,35,26,25,22,18,85,62,39,30.36,30.31,30.23,10,10,10,17,8,25,0.00,3,,317
2016-3-21,53,41,28,29,25,21,75,57,38,30.22,30.00,29.71,10,10,10,21,9,26,0.00,6,,152
2016-3-22,55,44,33,32,30,27,75,58,41,29.88,29.69,29.61,10,10,10,21,12,30,0.00,7,,41
2016-3-23,36,33,29,29,27,23,92,79,66,30.04,29.99,29.87,10,6,0,22,15,30,0.31,8,Fog-Snow,56
2016-3-24,47,38,28,21,16,11,69,46,23,29.97,29.92,29.87,10,10,10,18,10,29,0.00,4,,10
2016-3-25,48,38,27,35,23,17,76,54,31,29.96,29.93,29.90,10,10,9,21,9,28,T,5,Rain,154
2016-3-26,51,45,39,43,38,33,89,75,61,30.05,30.01,29.96,10,8,4,14,6,17,0.12,8,Rain,115
2016-3-27,43,37,31,39,34,29,92,78,64,30.07,30.00,29.95,10,9,5,16,8,22,0.07,7,Rain,341
2016-3-28,59,44,28,34,29,26,92,63,33,30.15,30.11,30.06,10,10,8,10,5,14,0.00,3,Fog,177
2016-3-29,64,52,40,41,33,30,82,57,32,30.17,30.09,29.95,10,10,9,31,13,40,0.19,6,Rain,149
2016-3-30,48,46,43,42,40,39,89,83,76,29.97,29.67,29.55,10,9,4,22,10,27,0.40,8,Rain,77
2016-3-31,54,47,40,40,37,29,92,67,41,29.67,29.52,29.45,10,10,8,20,8,26,0.13,8,Rain,1
